"","folio","ls","ls00","pid_link"
"340",69000,4,4,"0006900004"
"341",69000,5,5,"0006900005"
"342",69000,6,6,"0006900006"
"343",70000,1,1,"0007000001"
"344",70000,2,2,"0007000002"
"345",70000,3,3,"0007000003"
"346",70000,4,4,"0007000004"
"347",70000,5,5,"0007000005"
"348",72000,1,1,"0007200001"
"349",72000,2,2,"0007200002"
"350",72000,3,3,"0007200003"
"351",72000,4,4,"0007200004"
"352",72000,5,5,"0007200005"
"353",73000,1,1,"0007300001"
"354",73000,2,2,"0007300002"
"355",73000,3,3,"0007300003"
"356",73000,4,4,"0007300004"
"357",73000,5,5,"0007300005"
"358",73000,6,6,"0007300006"
"359",74000,1,1,"0007400001"
"360",74000,2,2,"0007400002"
"361",74000,3,3,"0007400003"
"362",74000,4,4,"0007400004"
"363",75000,1,1,"0007500001"
"364",75000,2,2,"0007500002"
"365",75000,3,3,"0007500003"
"366",75000,4,4,"0007500004"
"367",77000,1,1,"0007700001"
"368",77000,2,2,"0007700002"
"369",77000,3,3,"0007700003"
"370",81000,1,1,"0008100001"
"371",81000,2,2,"0008100002"
"372",81000,3,3,"0008100003"
"373",81000,4,4,"0008100004"
"374",83000,1,1,"0008300001"
"375",83000,2,2,"0008300002"
"376",83000,3,3,"0008300003"
"377",84000,1,1,"0008400001"
"378",84000,2,2,"0008400002"
"379",84000,3,3,"0008400003"
"380",85000,1,1,"0008500001"
"381",85000,2,2,"0008500002"
"382",85000,3,3,"0008500003"
"383",85000,4,4,"0008500004"
"384",85000,5,5,"0008500005"
"385",85000,6,6,"0008500006"
"386",85000,7,7,"0008500007"
"387",88000,1,1,"0008800001"
"388",88000,2,2,"0008800002"
"389",88000,3,3,""
"390",88000,4,4,""
"391",88000,5,5,""
"392",88003,1,1,"0008800003"
"393",88003,2,2,"0008800004"
"394",88003,3,3,"0008800005"
"395",89000,1,1,"0008900001"
"396",89000,2,2,"0008900002"
"397",89000,3,3,"0008900003"
"398",89000,4,4,"0008900004"
"399",91000,1,1,"0009100001"
"400",91000,2,2,"0009100002"
"401",91000,3,3,"0009100003"
"402",91000,4,4,"0009100004"
"403",91000,5,5,"0009100005"
"404",92000,1,1,"0009200001"
"405",92000,2,2,"0009200002"
"406",92000,3,3,"0009200003"
"407",92000,4,4,"0009200004"
"408",93000,1,1,""
"409",93000,2,2,""
"410",93000,3,3,""
"411",93000,4,4,"0009300004"
"412",93000,5,5,"0009300005"
"413",93000,6,6,"0009300006"
"414",93000,7,7,"0009300007"
"415",93000,8,8,"0009300008"
"416",93000,9,9,"0009300009"
"417",93000,10,10,"0009300010"
"418",93000,11,11,"0009300011"
"419",93000,12,12,"0009300012"
"420",93001,1,1,"0009300001"
"421",93001,2,2,"0009300002"
"422",93001,3,3,"0009300003"
