Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 1999. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 09:08:25 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,POPH Personal ocupado total hombres,POPM Personal ocupado total mujeres,POPT Personal ocupado total,
15 México,052 Malinalco,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
31 Yucatán,052 Motul,311    Industria alimentaria                                                                                                                                                                                   ,109,95,204,
31 Yucatán,052 Motul,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,20,5,25,
31 Yucatán,052 Motul,313    Fabricación de insumos textiles                                                                                                                                                                         ,81,4,85,
31 Yucatán,052 Motul,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,1,1,2,
31 Yucatán,052 Motul,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1909,1183,3092,
31 Yucatán,052 Motul,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,0,0,0,
31 Yucatán,052 Motul,321    Industria de la madera                                                                                                                                                                                  ,7,0,7,
31 Yucatán,052 Motul,322    Industria del papel                                                                                                                                                                                     ,0,1,1,
31 Yucatán,052 Motul,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,19,1,20,
31 Yucatán,052 Motul,332    Fabricación de productos metálicos                                                                                                                                                                      ,6,0,6,
31 Yucatán,052 Motul,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,12,1,13,
31 Yucatán,052 Motul,339    Otras industrias manufactureras                                                                                                                                                                         ,0,13,13,
08 Chihuahua,052 Ojinaga,311    Industria alimentaria                                                                                                                                                                                   ,65,28,93,
08 Chihuahua,052 Ojinaga,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,10,2,12,
08 Chihuahua,052 Ojinaga,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,14,9,23,
08 Chihuahua,052 Ojinaga,315    Fabricación de prendas de vestir                                                                                                                                                                        ,62,74,136,
08 Chihuahua,052 Ojinaga,321    Industria de la madera                                                                                                                                                                                  ,13,1,14,
08 Chihuahua,052 Ojinaga,323    Impresión e industrias conexas                                                                                                                                                                          ,6,2,8,
08 Chihuahua,052 Ojinaga,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,33,3,36,
08 Chihuahua,052 Ojinaga,332    Fabricación de productos metálicos                                                                                                                                                                      ,117,56,173,
08 Chihuahua,052 Ojinaga,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,2,0,2,
08 Chihuahua,052 Ojinaga,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,3,1,4,
08 Chihuahua,052 Ojinaga,336    Fabricación de equipo de transporte                                                                                                                                                                     ,348,135,483,
08 Chihuahua,052 Ojinaga,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,6,0,6,
08 Chihuahua,052 Ojinaga,339    Otras industrias manufactureras                                                                                                                                                                         ,1,0,1,
26 Sonora,052 Sahuaripa,311    Industria alimentaria                                                                                                                                                                                   ,5,13,18,
26 Sonora,052 Sahuaripa,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,3,1,4,
26 Sonora,052 Sahuaripa,321    Industria de la madera                                                                                                                                                                                  ,6,0,6,
26 Sonora,052 Sahuaripa,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,1,0,1,
26 Sonora,052 Sahuaripa,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,4,0,4,
13 Hidalgo,052 San Agustín Tlaxiaca,311    Industria alimentaria                                                                                                                                                                                   ,42,50,92,
13 Hidalgo,052 San Agustín Tlaxiaca,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,1,1,2,
13 Hidalgo,052 San Agustín Tlaxiaca,315    Fabricación de prendas de vestir                                                                                                                                                                        ,19,93,112,
13 Hidalgo,052 San Agustín Tlaxiaca,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,41,81,122,
13 Hidalgo,052 San Agustín Tlaxiaca,321    Industria de la madera                                                                                                                                                                                  ,3,0,3,
13 Hidalgo,052 San Agustín Tlaxiaca,323    Impresión e industrias conexas                                                                                                                                                                          ,1,1,2,
13 Hidalgo,052 San Agustín Tlaxiaca,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,9,0,9,
13 Hidalgo,052 San Agustín Tlaxiaca,332    Fabricación de productos metálicos                                                                                                                                                                      ,6,0,6,
13 Hidalgo,052 San Agustín Tlaxiaca,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
13 Hidalgo,052 San Agustín Tlaxiaca,339    Otras industrias manufactureras                                                                                                                                                                         ,0,2,2,
29 Tlaxcala,052 San José Teacalco,311    Industria alimentaria                                                                                                                                                                                   ,6,5,11,
29 Tlaxcala,052 San José Teacalco,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,7,0,7,
29 Tlaxcala,052 San José Teacalco,332    Fabricación de productos metálicos                                                                                                                                                                      ,2,0,2,
12 Guerrero,052 San Luis Acatlán,311    Industria alimentaria                                                                                                                                                                                   ,16,20,36,
12 Guerrero,052 San Luis Acatlán,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,5,4,9,
12 Guerrero,052 San Luis Acatlán,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,0,1,
12 Guerrero,052 San Luis Acatlán,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,1,0,1,
12 Guerrero,052 San Luis Acatlán,321    Industria de la madera                                                                                                                                                                                  ,2,0,2,
12 Guerrero,052 San Luis Acatlán,332    Fabricación de productos metálicos                                                                                                                                                                      ,5,0,5,
12 Guerrero,052 San Luis Acatlán,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,3,0,3,
32 Zacatecas,052 Villa García,311    Industria alimentaria                                                                                                                                                                                   ,20,13,33,
32 Zacatecas,052 Villa García,313    Fabricación de insumos textiles                                                                                                                                                                         ,33,5,38,
32 Zacatecas,052 Villa García,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,171,9,180,
32 Zacatecas,052 Villa García,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,0,1,
32 Zacatecas,052 Villa García,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,14,1,15,
32 Zacatecas,052 Villa García,332    Fabricación de productos metálicos                                                                                                                                                                      ,10,0,10,
32 Zacatecas,052 Villa García,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,3,0,3,
24 San Luis Potosí,052 Villa Juárez,311    Industria alimentaria                                                                                                                                                                                   ,7,7,14,
24 San Luis Potosí,052 Villa Juárez,315    Fabricación de prendas de vestir                                                                                                                                                                        ,0,1,1,
24 San Luis Potosí,052 Villa Juárez,321    Industria de la madera                                                                                                                                                                                  ,8,0,8,
24 San Luis Potosí,052 Villa Juárez,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,8,0,8,
24 San Luis Potosí,052 Villa Juárez,332    Fabricación de productos metálicos                                                                                                                                                                      ,3,0,3,
24 San Luis Potosí,052 Villa Juárez,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,1,0,1,
24 San Luis Potosí,053 Axtla de Terrazas,311    Industria alimentaria                                                                                                                                                                                   ,43,29,72,
24 San Luis Potosí,053 Axtla de Terrazas,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,6,2,8,
24 San Luis Potosí,053 Axtla de Terrazas,315    Fabricación de prendas de vestir                                                                                                                                                                        ,4,0,4,
24 San Luis Potosí,053 Axtla de Terrazas,321    Industria de la madera                                                                                                                                                                                  ,11,0,11,
24 San Luis Potosí,053 Axtla de Terrazas,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,7,1,8,
24 San Luis Potosí,053 Axtla de Terrazas,332    Fabricación de productos metálicos                                                                                                                                                                      ,7,0,7,
24 San Luis Potosí,053 Axtla de Terrazas,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2,0,2,
21 Puebla,053 Chignahuapan,311    Industria alimentaria                                                                                                                                                                                   ,65,67,132,
21 Puebla,053 Chignahuapan,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,0,0,0,
21 Puebla,053 Chignahuapan,313    Fabricación de insumos textiles                                                                                                                                                                         ,1,0,1,
21 Puebla,053 Chignahuapan,315    Fabricación de prendas de vestir                                                                                                                                                                        ,3,26,29,
21 Puebla,053 Chignahuapan,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,2,0,2,
21 Puebla,053 Chignahuapan,321    Industria de la madera                                                                                                                                                                                  ,191,19,210,
21 Puebla,053 Chignahuapan,323    Impresión e industrias conexas                                                                                                                                                                          ,1,1,2,
21 Puebla,053 Chignahuapan,326    Industria del plástico y del hule                                                                                                                                                                       ,5,0,5,
21 Puebla,053 Chignahuapan,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,188,117,305,
21 Puebla,053 Chignahuapan,332    Fabricación de productos metálicos                                                                                                                                                                      ,30,4,34,
21 Puebla,053 Chignahuapan,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,3,0,3,
21 Puebla,053 Chignahuapan,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,24,0,24,
21 Puebla,053 Chignahuapan,339    Otras industrias manufactureras                                                                                                                                                                         ,3,8,11,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,311    Industria alimentaria                                                                                                                                                                                   ,552,77,629,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,3,0,3,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,315    Fabricación de prendas de vestir                                                                                                                                                                        ,0,1,1,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,321    Industria de la madera                                                                                                                                                                                  ,1,0,1,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,323    Impresión e industrias conexas                                                                                                                                                                          ,4,2,6,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,205,7,212,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,331    Industrias metálicas básicas                                                                                                                                                                            ,2,0,2,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,332    Fabricación de productos metálicos                                                                                                                                                                      ,18,0,18,
30 Veracruz de Ignacio de la Llave,053 Cuitláhuac,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,13,1,14,
14 Jalisco,053 Lagos de Moreno,311    Industria alimentaria                                                                                                                                                                                   ,1874,775,2649,
14 Jalisco,053 Lagos de Moreno,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,51,7,58,
14 Jalisco,053 Lagos de Moreno,313    Fabricación de insumos textiles                                                                                                                                                                         ,19,21,40,
14 Jalisco,053 Lagos de Moreno,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,5,8,13,
14 Jalisco,053 Lagos de Moreno,315    Fabricación de prendas de vestir                                                                                                                                                                        ,503,1104,1607,
14 Jalisco,053 Lagos de Moreno,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,546,189,735,
14 Jalisco,053 Lagos de Moreno,321    Industria de la madera                                                                                                                                                                                  ,47,3,50,
14 Jalisco,053 Lagos de Moreno,323    Impresión e industrias conexas                                                                                                                                                                          ,14,17,31,
14 Jalisco,053 Lagos de Moreno,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,53,8,61,
14 Jalisco,053 Lagos de Moreno,325    Industria química                                                                                                                                                                                       ,8,2,10,
14 Jalisco,053 Lagos de Moreno,326    Industria del plástico y del hule                                                                                                                                                                       ,151,24,175,
14 Jalisco,053 Lagos de Moreno,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,41,3,44,
14 Jalisco,053 Lagos de Moreno,331    Industrias metálicas básicas                                                                                                                                                                            ,344,25,369,
14 Jalisco,053 Lagos de Moreno,332    Fabricación de productos metálicos                                                                                                                                                                      ,320,14,334,
14 Jalisco,053 Lagos de Moreno,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,396,47,443,
14 Jalisco,053 Lagos de Moreno,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,3,4,7,
14 Jalisco,053 Lagos de Moreno,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,153,19,172,
20 Oaxaca,053 Magdalena Tlacotepec,311    Industria alimentaria                                                                                                                                                                                   ,8,31,39,
20 Oaxaca,053 Magdalena Tlacotepec,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,1,2,
20 Oaxaca,053 Magdalena Tlacotepec,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,1,0,1,
07 Chiapas,053 Mazapa de Madero,311    Industria alimentaria                                                                                                                                                                                   ,0,3,3,
07 Chiapas,053 Mazapa de Madero,315    Fabricación de prendas de vestir                                                                                                                                                                        ,2,1,3,
07 Chiapas,053 Mazapa de Madero,332    Fabricación de productos metálicos                                                                                                                                                                      ,1,0,1,
15 México,053 Melchor Ocampo,311    Industria alimentaria                                                                                                                                                                                   ,98,58,156,
15 México,053 Melchor Ocampo,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,3,0,3,
15 México,053 Melchor Ocampo,313    Fabricación de insumos textiles                                                                                                                                                                         ,3,1,4,
15 México,053 Melchor Ocampo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,4,2,6,
15 México,053 Melchor Ocampo,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,4,3,7,
15 México,053 Melchor Ocampo,321    Industria de la madera                                                                                                                                                                                  ,20,1,21,
15 México,053 Melchor Ocampo,323    Impresión e industrias conexas                                                                                                                                                                          ,5,1,6,
15 México,053 Melchor Ocampo,325    Industria química                                                                                                                                                                                       ,12,3,15,
15 México,053 Melchor Ocampo,326    Industria del plástico y del hule                                                                                                                                                                       ,228,63,291,
15 México,053 Melchor Ocampo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,6,0,6,
15 México,053 Melchor Ocampo,331    Industrias metálicas básicas                                                                                                                                                                            ,67,22,89,
15 México,053 Melchor Ocampo,332    Fabricación de productos metálicos                                                                                                                                                                      ,53,1,54,
15 México,053 Melchor Ocampo,336    Fabricación de equipo de transporte                                                                                                                                                                     ,2,0,2,
15 México,053 Melchor Ocampo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,14,1,15,
15 México,053 Melchor Ocampo,339    Otras industrias manufactureras                                                                                                                                                                         ,3,1,4,
16 Michoacán de Ocampo,053 Morelia,311    Industria alimentaria                                                                                                                                                                                   ,2321,1945,4266,
16 Michoacán de Ocampo,053 Morelia,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,919,180,1099,
16 Michoacán de Ocampo,053 Morelia,313    Fabricación de insumos textiles                                                                                                                                                                         ,22,22,44,
16 Michoacán de Ocampo,053 Morelia,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,388,289,677,
16 Michoacán de Ocampo,053 Morelia,315    Fabricación de prendas de vestir                                                                                                                                                                        ,179,423,602,
16 Michoacán de Ocampo,053 Morelia,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,82,24,106,
16 Michoacán de Ocampo,053 Morelia,321    Industria de la madera                                                                                                                                                                                  ,408,32,440,
16 Michoacán de Ocampo,053 Morelia,322    Industria del papel                                                                                                                                                                                     ,412,177,589,
16 Michoacán de Ocampo,053 Morelia,323    Impresión e industrias conexas                                                                                                                                                                          ,409,107,516,
16 Michoacán de Ocampo,053 Morelia,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,173,16,189,
16 Michoacán de Ocampo,053 Morelia,325    Industria química                                                                                                                                                                                       ,615,139,754,
16 Michoacán de Ocampo,053 Morelia,326    Industria del plástico y del hule                                                                                                                                                                       ,547,191,738,
16 Michoacán de Ocampo,053 Morelia,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,1041,458,1499,
16 Michoacán de Ocampo,053 Morelia,331    Industrias metálicas básicas                                                                                                                                                                            ,104,9,113,
16 Michoacán de Ocampo,053 Morelia,332    Fabricación de productos metálicos                                                                                                                                                                      ,1263,83,1346,
16 Michoacán de Ocampo,053 Morelia,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,291,14,305,
16 Michoacán de Ocampo,053 Morelia,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios e                                                                                             ,4,83,87,
16 Michoacán de Ocampo,053 Morelia,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,226,23,249,
16 Michoacán de Ocampo,053 Morelia,336    Fabricación de equipo de transporte                                                                                                                                                                     ,39,1,40,
16 Michoacán de Ocampo,053 Morelia,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,771,86,857,
16 Michoacán de Ocampo,053 Morelia,339    Otras industrias manufactureras                                                                                                                                                                         ,328,245,573,
31 Yucatán,053 Muna,311    Industria alimentaria                                                                                                                                                                                   ,31,48,79,
31 Yucatán,053 Muna,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,3,2,5,
31 Yucatán,053 Muna,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,0,4,4,
31 Yucatán,053 Muna,315    Fabricación de prendas de vestir                                                                                                                                                                        ,11,2,13,
31 Yucatán,053 Muna,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,1,0,1,
31 Yucatán,053 Muna,321    Industria de la madera                                                                                                                                                                                  ,20,2,22,
31 Yucatán,053 Muna,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,4,2,6,
31 Yucatán,053 Muna,332    Fabricación de productos metálicos                                                                                                                                                                      ,4,0,4,
31 Yucatán,053 Muna,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,5,0,5,
31 Yucatán,053 Muna,339    Otras industrias manufactureras                                                                                                                                                                         ,1,0,1,
08 Chihuahua,053 Praxedis G. Guerrero,311    Industria alimentaria                                                                                                                                                                                   ,8,5,13,
08 Chihuahua,053 Praxedis G. Guerrero,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,4,0,4,
08 Chihuahua,053 Praxedis G. Guerrero,336    Fabricación de equipo de transporte                                                                                                                                                                     ,255,302,557,
08 Chihuahua,053 Praxedis G. Guerrero,339    Otras industrias manufactureras                                                                                                                                                                         ,38,91,129,
13 Hidalgo,053 San Bartolo Tutotepec,311    Industria alimentaria                                                                                                                                                                                   ,23,7,30,
13 Hidalgo,053 San Bartolo Tutotepec,321    Industria de la madera                                                                                                                                                                                  ,1,0,1,
13 Hidalgo,053 San Bartolo Tutotepec,332    Fabricación de productos metálicos                                                                                                                                                                      ,4,0,4,
13 Hidalgo,053 San Bartolo Tutotepec,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,3,0,3,
26 Sonora,053 San Felipe de Jesús,311    Industria alimentaria                                                                                                                                                                                   ,1,0,1,
29 Tlaxcala,053 San Juan Huactzinco,311    Industria alimentaria                                                                                                                                                                                   ,650,595,1245,
29 Tlaxcala,053 San Juan Huactzinco,321    Industria de la madera                                                                                                                                                                                  ,2,0,2,
29 Tlaxcala,053 San Juan Huactzinco,322    Industria del papel                                                                                                                                                                                     ,1,0,1,
29 Tlaxcala,053 San Juan Huactzinco,325    Industria química                                                                                                                                                                                       ,1,1,2,
29 Tlaxcala,053 San Juan Huactzinco,332    Fabricación de productos metálicos                                                                                                                                                                      ,7,0,7,
12 Guerrero,053 San Marcos,311    Industria alimentaria                                                                                                                                                                                   ,66,116,182,
12 Guerrero,053 San Marcos,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,6,1,7,
12 Guerrero,053 San Marcos,315    Fabricación de prendas de vestir                                                                                                                                                                        ,9,18,27,
12 Guerrero,053 San Marcos,323    Impresión e industrias conexas                                                                                                                                                                          ,0,1,1,
12 Guerrero,053 San Marcos,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,25,28,53,
