Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 1999. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 09:08:25 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,POPH Personal ocupado total hombres,POPM Personal ocupado total mujeres,POPT Personal ocupado total,
12 Guerrero,001 Acapulco de Juárez,336    Fabricación de equipo de transporte                                                                                                                                                                     ,5,0,5,
12 Guerrero,001 Acapulco de Juárez,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,230,9,239,
12 Guerrero,001 Acapulco de Juárez,339    Otras industrias manufactureras                                                                                                                                                                         ,103,67,170,
14 Jalisco,001 Acatic,311    Industria alimentaria                                                                                                                                                                                   ,18,19,37,
14 Jalisco,001 Acatic,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,28,8,36,
14 Jalisco,001 Acatic,315    Fabricación de prendas de vestir                                                                                                                                                                        ,4,63,67,
14 Jalisco,001 Acatic,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,1,3,4,
14 Jalisco,001 Acatic,321    Industria de la madera                                                                                                                                                                                  ,5,1,6,
14 Jalisco,001 Acatic,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,578,132,710,
14 Jalisco,001 Acatic,332    Fabricación de productos metálicos                                                                                                                                                                      ,9,0,9,
14 Jalisco,001 Acatic,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,8,2,10,
14 Jalisco,001 Acatic,339    Otras industrias manufactureras                                                                                                                                                                         ,1,2,3,
13 Hidalgo,001 Acatlán,311    Industria alimentaria                                                                                                                                                                                   ,12,9,21,
13 Hidalgo,001 Acatlán,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,150,6,156,
13 Hidalgo,001 Acatlán,332    Fabricación de productos metálicos                                                                                                                                                                      ,5,0,5,
26 Sonora,001 Aconchi,311    Industria alimentaria                                                                                                                                                                                   ,0,4,4,
26 Sonora,001 Aconchi,332    Fabricación de productos metálicos                                                                                                                                                                      ,2,0,2,
26 Sonora,001 Aconchi,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,98,0,98,
16 Michoacán de Ocampo,001 Acuitzio,311    Industria alimentaria                                                                                                                                                                                   ,8,18,26,
16 Michoacán de Ocampo,001 Acuitzio,315    Fabricación de prendas de vestir                                                                                                                                                                        ,1,8,9,
16 Michoacán de Ocampo,001 Acuitzio,321    Industria de la madera                                                                                                                                                                                  ,62,0,62,
16 Michoacán de Ocampo,001 Acuitzio,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,16,1,17,
16 Michoacán de Ocampo,001 Acuitzio,331    Industrias metálicas básicas                                                                                                                                                                            ,1,0,1,
16 Michoacán de Ocampo,001 Acuitzio,332    Fabricación de productos metálicos                                                                                                                                                                      ,10,0,10,
16 Michoacán de Ocampo,001 Acuitzio,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,13,0,13,
16 Michoacán de Ocampo,001 Acuitzio,339    Otras industrias manufactureras                                                                                                                                                                         ,0,16,16,
01 Aguascalientes,001 Aguascalientes,311    Industria alimentaria                                                                                                                                                                                   ,3774,1390,5164,
01 Aguascalientes,001 Aguascalientes,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,1649,68,1717,
01 Aguascalientes,001 Aguascalientes,313    Fabricación de insumos textiles                                                                                                                                                                         ,727,186,913,
01 Aguascalientes,001 Aguascalientes,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,828,1049,1877,
01 Aguascalientes,001 Aguascalientes,315    Fabricación de prendas de vestir                                                                                                                                                                        ,3691,9079,12770,
01 Aguascalientes,001 Aguascalientes,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,451,204,655,
01 Aguascalientes,001 Aguascalientes,321    Industria de la madera                                                                                                                                                                                  ,487,59,546,
01 Aguascalientes,001 Aguascalientes,322    Industria del papel                                                                                                                                                                                     ,101,68,169,
01 Aguascalientes,001 Aguascalientes,323    Impresión e industrias conexas                                                                                                                                                                          ,539,216,755,
01 Aguascalientes,001 Aguascalientes,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,664,39,703,
01 Aguascalientes,001 Aguascalientes,325    Industria química                                                                                                                                                                                       ,146,129,275,
01 Aguascalientes,001 Aguascalientes,326    Industria del plástico y del hule                                                                                                                                                                       ,518,167,685,
01 Aguascalientes,001 Aguascalientes,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,343,83,426,
01 Aguascalientes,001 Aguascalientes,331    Industrias metálicas básicas                                                                                                                                                                            ,235,14,249,
01 Aguascalientes,001 Aguascalientes,332    Fabricación de productos metálicos                                                                                                                                                                      ,1865,284,2149,
01 Aguascalientes,001 Aguascalientes,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,987,99,1086,
01 Aguascalientes,001 Aguascalientes,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios e                                                                                             ,929,655,1584,
01 Aguascalientes,001 Aguascalientes,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,335,59,394,
01 Aguascalientes,001 Aguascalientes,336    Fabricación de equipo de transporte                                                                                                                                                                     ,7133,2276,9409,
01 Aguascalientes,001 Aguascalientes,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,2411,151,2562,
01 Aguascalientes,001 Aguascalientes,339    Otras industrias manufactureras                                                                                                                                                                         ,195,77,272,
25 Sinaloa,001 Ahome,311    Industria alimentaria                                                                                                                                                                                   ,2727,1851,4578,
25 Sinaloa,001 Ahome,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,665,55,720,
25 Sinaloa,001 Ahome,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,4,5,9,
25 Sinaloa,001 Ahome,315    Fabricación de prendas de vestir                                                                                                                                                                        ,26,76,102,
25 Sinaloa,001 Ahome,316    Fabricación de productos de cuero piel y materiales sucedáneos. excepto prendas de vestir                                                                                                              ,2,0,2,
