Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:44:53 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
26 Sonora,001 Aconchi,327    Fabricación de productos a base de minerales no metálicos ,2,2,0,
26 Sonora,001 Aconchi,332    Fabricación de productos metálicos ,2,2,0,
26 Sonora,001 Aconchi,337    Fabricación de muebles colchones y persianas ,62,60,2,
16 Michoacán de ocampo,001 Acuitzio,311    Industria alimentaria ,61,20,41,
16 Michoacán de ocampo,001 Acuitzio,315    Fabricación de prendas de vestir ,13,2,11,
16 Michoacán de ocampo,001 Acuitzio,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,1,1,0,
16 Michoacán de ocampo,001 Acuitzio,321    Industria de la madera ,24,20,4,
16 Michoacán de ocampo,001 Acuitzio,325    Industria química ,10,5,5,
16 Michoacán de ocampo,001 Acuitzio,327    Fabricación de productos a base de minerales no metálicos ,54,48,6,
16 Michoacán de ocampo,001 Acuitzio,332    Fabricación de productos metálicos ,28,28,0,
16 Michoacán de ocampo,001 Acuitzio,337    Fabricación de muebles colchones y persianas ,19,18,1,
01 Aguascalientes,001 Aguascalientes,311    Industria alimentaria ,7696,5456,2240,
01 Aguascalientes,001 Aguascalientes,312    Industria de las bebidas y del tabaco ,2670,2422,248,
01 Aguascalientes,001 Aguascalientes,313    Fabricación de insumos textiles y acabado de textiles ,1443,1008,435,
01 Aguascalientes,001 Aguascalientes,314    Fabricación de productos textiles excepto prendas de vestir ,1999,1031,968,
01 Aguascalientes,001 Aguascalientes,315    Fabricación de prendas de vestir ,8919,3563,5356,
01 Aguascalientes,001 Aguascalientes,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,414,223,191,
01 Aguascalientes,001 Aguascalientes,321    Industria de la madera ,825,744,81,
01 Aguascalientes,001 Aguascalientes,322    Industria del papel ,104,47,57,
01 Aguascalientes,001 Aguascalientes,323    Impresión e industrias conexas ,1114,716,398,
01 Aguascalientes,001 Aguascalientes,324    Fabricación de productos derivados del petróleo y del carbón ,26,16,10,
01 Aguascalientes,001 Aguascalientes,325    Industria química ,155,109,46,
01 Aguascalientes,001 Aguascalientes,326    Industria del plástico y del hule ,794,666,128,
01 Aguascalientes,001 Aguascalientes,327    Fabricación de productos a base de minerales no metálicos ,513,451,62,
01 Aguascalientes,001 Aguascalientes,331    Industrias metálicas básicas ,86,74,12,
01 Aguascalientes,001 Aguascalientes,332    Fabricación de productos metálicos ,3125,2692,433,
01 Aguascalientes,001 Aguascalientes,333    Fabricación de maquinaria y equipo ,790,705,85,
01 Aguascalientes,001 Aguascalientes,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos ,4071,1734,2337,
01 Aguascalientes,001 Aguascalientes,335    Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica ,210,166,44,
01 Aguascalientes,001 Aguascalientes,336    Fabricación de equipo de transporte ,8829,7959,870,
01 Aguascalientes,001 Aguascalientes,337    Fabricación de muebles colchones y persianas ,2865,2656,209,
01 Aguascalientes,001 Aguascalientes,339    Otras industrias manufactureras ,526,339,187,
25 Sinaloa,001 Ahome,311    Industria alimentaria ,4218,2667,1551,
25 Sinaloa,001 Ahome,312    Industria de las bebidas y del tabaco ,874,780,94,
25 Sinaloa,001 Ahome,313    Fabricación de insumos textiles y acabado de textiles ,3,2,1,
25 Sinaloa,001 Ahome,314    Fabricación de productos textiles excepto prendas de vestir ,36,19,17,
25 Sinaloa,001 Ahome,315    Fabricación de prendas de vestir ,240,55,185,
25 Sinaloa,001 Ahome,316    Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos ,2,2,0,
25 Sinaloa,001 Ahome,321    Industria de la madera ,194,154,40,
25 Sinaloa,001 Ahome,322    Industria del papel ,289,249,40,
25 Sinaloa,001 Ahome,323    Impresión e industrias conexas ,269,192,77,
25 Sinaloa,001 Ahome,325    Industria química ,214,166,48,
25 Sinaloa,001 Ahome,326    Industria del plástico y del hule ,162,150,12,
25 Sinaloa,001 Ahome,327    Fabricación de productos a base de minerales no metálicos ,325,291,34,
25 Sinaloa,001 Ahome,331    Industrias metálicas básicas ,19,13,6,
25 Sinaloa,001 Ahome,332    Fabricación de productos metálicos ,850,766,84,
25 Sinaloa,001 Ahome,333    Fabricación de maquinaria y equipo ,1220,792,428,
25 Sinaloa,001 Ahome,336    Fabricación de equipo de transporte ,3410,1078,2332,
25 Sinaloa,001 Ahome,337    Fabricación de muebles colchones y persianas ,251,224,27,
25 Sinaloa,001 Ahome,339    Otras industrias manufactureras ,95,62,33,
24 San luis potosí,001 Ahualulco,311    Industria alimentaria ,69,34,35,
24 San luis potosí,001 Ahualulco,312    Industria de las bebidas y del tabaco ,2,2,0,
