Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2004. Resultados definitivos,,,,,,,
Fecha de consulta: 25/08/2021 03:43:30 p. m.,,,,,,,
,,,,,,,
Entidad,Municipio,Actividad Económica,UE UNIDADES ECONÓMICAS,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
29 Tlaxcala,041 Papalotla de Xicohténcatl,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,255,195,60,
29 Tlaxcala,041 Papalotla de Xicohténcatl,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      8 ,1360,1288,72,
29 Tlaxcala,041 Papalotla de Xicohténcatl,332    Fabricación de productos metálicos                                                                                                                                                                      ,     28 ,94,84,10,
29 Tlaxcala,041 Papalotla de Xicohténcatl,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,10,5,5,
29 Tlaxcala,041 Papalotla de Xicohténcatl,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     10 ,28,28,0,
29 Tlaxcala,041 Papalotla de Xicohténcatl,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,4,1,3,
19 Nuevo León,041 Pesquería,321    Industria de la madera                                                                                                                                                                                  ,      * ,1,1,0,
19 Nuevo León,041 Pesquería,322    Industria del papel                                                                                                                                                                                     ,      * ,206,154,52,
19 Nuevo León,041 Pesquería,325    Industria química                                                                                                                                                                                       ,      * ,66,60,6,
19 Nuevo León,041 Pesquería,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,680,661,19,
19 Nuevo León,041 Pesquería,331    Industrias metálicas básicas                                                                                                                                                                            ,      * ,133,128,5,
19 Nuevo León,041 Pesquería,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,3,3,0,
19 Nuevo León,041 Pesquería,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,23,22,1,
24 San Luis Potosí,041 Tanlajás,311    Industria alimentaria                                                                                                                                                                                   ,     22 ,59,24,35,
24 San Luis Potosí,041 Tanlajás,321    Industria de la madera                                                                                                                                                                                  ,      * ,1,1,0,
24 San Luis Potosí,041 Tanlajás,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,3,3,0,
24 San Luis Potosí,041 Tanlajás,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,8,8,0,
11 Guanajuato,041 Uriangato,311    Industria alimentaria                                                                                                                                                                                   ,    135 ,328,114,214,
11 Guanajuato,041 Uriangato,313    Fabricación de insumos textiles                                                                                                                                                                         ,     11 ,64,52,12,
11 Guanajuato,041 Uriangato,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,     34 ,127,104,23,
11 Guanajuato,041 Uriangato,315    Fabricación de prendas de vestir                                                                                                                                                                        ,    232 ,955,369,586,
11 Guanajuato,041 Uriangato,321    Industria de la madera                                                                                                                                                                                  ,     20 ,40,40,0,
11 Guanajuato,041 Uriangato,323    Impresión e industrias conexas                                                                                                                                                                          ,     12 ,34,29,5,
11 Guanajuato,041 Uriangato,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,7,7,0,
11 Guanajuato,041 Uriangato,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     11 ,28,23,5,
11 Guanajuato,041 Uriangato,332    Fabricación de productos metálicos                                                                                                                                                                      ,     72 ,135,129,6,
11 Guanajuato,041 Uriangato,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,2,2,0,
11 Guanajuato,041 Uriangato,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,16,16,0,
11 Guanajuato,041 Uriangato,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,8,8,0,
28 Tamaulipas,041 Victoria,311    Industria alimentaria                                                                                                                                                                                   ,    312 ,1240,594,646,
28 Tamaulipas,041 Victoria,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      9 ,870,792,78,
28 Tamaulipas,041 Victoria,313    Fabricación de insumos textiles                                                                                                                                                                         ,      * ,625,396,229,
28 Tamaulipas,041 Victoria,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,2,1,1,
28 Tamaulipas,041 Victoria,315    Fabricación de prendas de vestir                                                                                                                                                                        ,     49 ,2305,702,1603,
28 Tamaulipas,041 Victoria,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,1,1,0,
28 Tamaulipas,041 Victoria,321    Industria de la madera                                                                                                                                                                                  ,     78 ,148,140,8,
28 Tamaulipas,041 Victoria,322    Industria del papel                                                                                                                                                                                     ,     12 ,23,6,17,
28 Tamaulipas,041 Victoria,323    Impresión e industrias conexas                                                                                                                                                                          ,     59 ,288,202,86,
28 Tamaulipas,041 Victoria,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,      * ,231,209,22,
28 Tamaulipas,041 Victoria,325    Industria química                                                                                                                                                                                       ,      * ,117,107,10,
28 Tamaulipas,041 Victoria,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,38,35,3,
28 Tamaulipas,041 Victoria,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     77 ,181,164,17,
28 Tamaulipas,041 Victoria,332    Fabricación de productos metálicos                                                                                                                                                                      ,    219 ,406,386,20,
28 Tamaulipas,041 Victoria,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,2,2,0,
28 Tamaulipas,041 Victoria,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos                                                                                  ,      * ,1131,445,686,
28 Tamaulipas,041 Victoria,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,1624,890,734,
28 Tamaulipas,041 Victoria,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     53 ,248,227,21,
28 Tamaulipas,041 Victoria,339    Otras industrias manufactureras                                                                                                                                                                         ,     13 ,54,33,21,
30 Veracruz de Ignacio de la Llave,042 Colipa,311    Industria alimentaria                                                                                                                                                                                   ,      * ,15,7,8,
30 Veracruz de Ignacio de la Llave,042 Colipa,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,1,1,0,
30 Veracruz de Ignacio de la Llave,042 Colipa,321    Industria de la madera                                                                                                                                                                                  ,      * ,1,1,0,
30 Veracruz de Ignacio de la Llave,042 Colipa,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,1,1,0,
21 Puebla,042 Cuayuca de Andrade,311    Industria alimentaria                                                                                                                                                                                   ,      * ,21,7,14,
21 Puebla,042 Cuayuca de Andrade,313    Fabricación de insumos textiles                                                                                                                                                                         ,      * ,1,0,1,
21 Puebla,042 Cuayuca de Andrade,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,     11 ,13,0,13,
21 Puebla,042 Cuayuca de Andrade,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,1,0,1,
21 Puebla,042 Cuayuca de Andrade,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,1,1,0,
14 Jalisco,042 Huejuquilla el Alto,311    Industria alimentaria                                                                                                                                                                                   ,      5 ,25,13,12,
14 Jalisco,042 Huejuquilla el Alto,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,6,5,1,
14 Jalisco,042 Huejuquilla el Alto,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,2,2,0,
14 Jalisco,042 Huejuquilla el Alto,321    Industria de la madera                                                                                                                                                                                  ,      * ,5,5,0,
14 Jalisco,042 Huejuquilla el Alto,332    Fabricación de productos metálicos                                                                                                                                                                      ,      6 ,15,15,0,
07 Chiapas,042 Ixhuatán,311    Industria alimentaria                                                                                                                                                                                   ,      * ,15,11,4,
07 Chiapas,042 Ixhuatán,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,4,4,0,
15 México,042 Ixtlahuaca,311    Industria alimentaria                                                                                                                                                                                   ,    123 ,249,107,142,
15 México,042 Ixtlahuaca,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,14,14,0,
15 México,042 Ixtlahuaca,315    Fabricación de prendas de vestir                                                                                                                                                                        ,     10 ,1550,624,926,
15 México,042 Ixtlahuaca,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,3,2,1,
15 México,042 Ixtlahuaca,321    Industria de la madera                                                                                                                                                                                  ,     14 ,25,25,0,
15 México,042 Ixtlahuaca,323    Impresión e industrias conexas                                                                                                                                                                          ,      9 ,23,17,6,
15 México,042 Ixtlahuaca,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,77,65,12,
15 México,042 Ixtlahuaca,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,27,24,3,
15 México,042 Ixtlahuaca,332    Fabricación de productos metálicos                                                                                                                                                                      ,     43 ,74,74,0,
15 México,042 Ixtlahuaca,335    Fabricación de equipo de generación eléctrica y aparatos y accesorios eléctricos                                                                                                                        ,      * ,2,1,1,
15 México,042 Ixtlahuaca,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,4,4,0,
16 Michoacán de Ocampo,042 Ixtlán,311    Industria alimentaria                                                                                                                                                                                   ,      8 ,30,17,13,
16 Michoacán de Ocampo,042 Ixtlán,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,3,3,0,
16 Michoacán de Ocampo,042 Ixtlán,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,5,5,0,
16 Michoacán de Ocampo,042 Ixtlán,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,2,1,1,
20 Oaxaca,042 Ixtlán de Juárez,311    Industria alimentaria                                                                                                                                                                                   ,      7 ,26,16,10,
20 Oaxaca,042 Ixtlán de Juárez,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,1,0,1,
20 Oaxaca,042 Ixtlán de Juárez,321    Industria de la madera                                                                                                                                                                                  ,      * ,110,95,15,
20 Oaxaca,042 Ixtlán de Juárez,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,2,2,0,
20 Oaxaca,042 Ixtlán de Juárez,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,15,9,6,
20 Oaxaca,042 Ixtlán de Juárez,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,1,1,0,
31 Yucatán,042 Kantunil,311    Industria alimentaria                                                                                                                                                                                   ,      9 ,18,11,7,
31 Yucatán,042 Kantunil,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,1,0,1,
31 Yucatán,042 Kantunil,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,2,1,1,
31 Yucatán,042 Kantunil,321    Industria de la madera                                                                                                                                                                                  ,      * ,8,8,0,
31 Yucatán,042 Kantunil,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,2,2,0,
19 Nuevo León,042 Los Ramones,311    Industria alimentaria                                                                                                                                                                                   ,      * ,7,4,3,
19 Nuevo León,042 Los Ramones,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,65,23,42,
19 Nuevo León,042 Los Ramones,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,2,2,0,
19 Nuevo León,042 Los Ramones,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,4,4,0,
08 Chihuahua,042 Manuel Benavides,311    Industria alimentaria                                                                                                                                                                                   ,      * ,3,2,1,
12 Guerrero,042 Mártir de Cuilapan,311    Industria alimentaria                                                                                                                                                                                   ,     11 ,16,2,14,
12 Guerrero,042 Mártir de Cuilapan,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,5,5,0,
12 Guerrero,042 Mártir de Cuilapan,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,1,1,0,
12 Guerrero,042 Mártir de Cuilapan,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,10,5,5,
13 Hidalgo,042 Molango de Escamilla,311    Industria alimentaria                                                                                                                                                                                   ,      8 ,24,11,13,
13 Hidalgo,042 Molango de Escamilla,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,9,9,0,
13 Hidalgo,042 Molango de Escamilla,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,3,3,0,
26 Sonora,042 Navojoa,311    Industria alimentaria                                                                                                                                                                                   ,    142 ,2773,1929,844,
26 Sonora,042 Navojoa,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,     23 ,462,429,33,
26 Sonora,042 Navojoa,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,1,1,0,
26 Sonora,042 Navojoa,315    Fabricación de prendas de vestir                                                                                                                                                                        ,     13 ,61,11,50,
26 Sonora,042 Navojoa,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,6,5,1,
26 Sonora,042 Navojoa,321    Industria de la madera                                                                                                                                                                                  ,     31 ,102,93,9,
26 Sonora,042 Navojoa,322    Industria del papel                                                                                                                                                                                     ,     10 ,814,778,36,
26 Sonora,042 Navojoa,323    Impresión e industrias conexas                                                                                                                                                                          ,     18 ,66,50,16,
26 Sonora,042 Navojoa,324    Fabricación de productos derivados del petróleo y del carbón                                                                                                                                            ,      * ,61,50,11,
26 Sonora,042 Navojoa,325    Industria química                                                                                                                                                                                       ,      * ,26,22,4,
26 Sonora,042 Navojoa,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     38 ,232,205,27,
26 Sonora,042 Navojoa,332    Fabricación de productos metálicos                                                                                                                                                                      ,     78 ,138,134,4,
26 Sonora,042 Navojoa,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,5,4,1,
26 Sonora,042 Navojoa,334    Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos                                                                                  ,      * ,289,70,219,
26 Sonora,042 Navojoa,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     33 ,168,116,52,
26 Sonora,042 Navojoa,339    Otras industrias manufactureras                                                                                                                                                                         ,     10 ,315,130,185,
32 Zacatecas,042 Sombrerete,311    Industria alimentaria                                                                                                                                                                                   ,     49 ,165,94,71,
32 Zacatecas,042 Sombrerete,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,18,14,4,
32 Zacatecas,042 Sombrerete,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,1,0,1,
32 Zacatecas,042 Sombrerete,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,5,5,0,
32 Zacatecas,042 Sombrerete,321    Industria de la madera                                                                                                                                                                                  ,      8 ,10,9,1,
32 Zacatecas,042 Sombrerete,322    Industria del papel                                                                                                                                                                                     ,      * ,1,0,1,
32 Zacatecas,042 Sombrerete,323    Impresión e industrias conexas                                                                                                                                                                          ,      5 ,14,7,7,
32 Zacatecas,042 Sombrerete,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     11 ,26,25,1,
32 Zacatecas,042 Sombrerete,332    Fabricación de productos metálicos                                                                                                                                                                      ,     46 ,77,76,1,
32 Zacatecas,042 Sombrerete,333    Fabricación de maquinaria y equipo                                                                                                                                                                      ,      * ,27,26,1,
32 Zacatecas,042 Sombrerete,336    Fabricación de equipo de transporte                                                                                                                                                                     ,      * ,3,3,0,
32 Zacatecas,042 Sombrerete,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     13 ,25,19,6,
24 San Luis Potosí,042 Tanquián de Escobedo,311    Industria alimentaria                                                                                                                                                                                   ,     91 ,167,90,77,
24 San Luis Potosí,042 Tanquián de Escobedo,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,30,28,2,
24 San Luis Potosí,042 Tanquián de Escobedo,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,4,2,2,
24 San Luis Potosí,042 Tanquián de Escobedo,321    Industria de la madera                                                                                                                                                                                  ,      * ,3,3,0,
24 San Luis Potosí,042 Tanquián de Escobedo,322    Industria del papel                                                                                                                                                                                     ,      * ,1,1,0,
24 San Luis Potosí,042 Tanquián de Escobedo,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,4,2,2,
24 San Luis Potosí,042 Tanquián de Escobedo,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      5 ,11,11,0,
24 San Luis Potosí,042 Tanquián de Escobedo,332    Fabricación de productos metálicos                                                                                                                                                                      ,      7 ,13,13,0,
24 San Luis Potosí,042 Tanquián de Escobedo,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     14 ,21,21,0,
24 San Luis Potosí,042 Tanquián de Escobedo,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,1,1,0,
11 Guanajuato,042 Valle de Santiago,311    Industria alimentaria                                                                                                                                                                                   ,    130 ,488,243,245,
11 Guanajuato,042 Valle de Santiago,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,5,4,1,
11 Guanajuato,042 Valle de Santiago,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,21,10,11,
11 Guanajuato,042 Valle de Santiago,321    Industria de la madera                                                                                                                                                                                  ,     14 ,30,30,0,
11 Guanajuato,042 Valle de Santiago,323    Impresión e industrias conexas                                                                                                                                                                          ,      8 ,20,17,3,
11 Guanajuato,042 Valle de Santiago,325    Industria química                                                                                                                                                                                       ,      * ,6,6,0,
11 Guanajuato,042 Valle de Santiago,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,     53 ,191,172,19,
11 Guanajuato,042 Valle de Santiago,332    Fabricación de productos metálicos                                                                                                                                                                      ,     69 ,136,129,7,
11 Guanajuato,042 Valle de Santiago,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,8,7,1,
28 Tamaulipas,042 Villagrán,311    Industria alimentaria                                                                                                                                                                                   ,      * ,8,2,6,
28 Tamaulipas,042 Villagrán,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,1,1,0,
28 Tamaulipas,042 Villagrán,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,2,2,0,
29 Tlaxcala,042 Xicohtzinco,311    Industria alimentaria                                                                                                                                                                                   ,     23 ,171,21,150,
29 Tlaxcala,042 Xicohtzinco,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,105,27,78,
29 Tlaxcala,042 Xicohtzinco,321    Industria de la madera                                                                                                                                                                                  ,      * ,1,1,0,
29 Tlaxcala,042 Xicohtzinco,325    Industria química                                                                                                                                                                                       ,      * ,156,148,8,
29 Tlaxcala,042 Xicohtzinco,326    Industria del plástico y del hule                                                                                                                                                                       ,      * ,146,137,9,
29 Tlaxcala,042 Xicohtzinco,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,11,11,0,
29 Tlaxcala,042 Xicohtzinco,332    Fabricación de productos metálicos                                                                                                                                                                      ,     10 ,12,12,0,
29 Tlaxcala,042 Xicohtzinco,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,5,5,0,
29 Tlaxcala,042 Xicohtzinco,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,28,5,23,
30 Veracruz de Ignacio de la Llave,043 Comapa,311    Industria alimentaria                                                                                                                                                                                   ,      9 ,66,55,11,
30 Veracruz de Ignacio de la Llave,043 Comapa,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,3,3,0,
30 Veracruz de Ignacio de la Llave,043 Comapa,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,10,10,0,
21 Puebla,043 Cuetzalan del Progreso,311    Industria alimentaria                                                                                                                                                                                   ,     43 ,80,42,38,
21 Puebla,043 Cuetzalan del Progreso,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,2,0,2,
21 Puebla,043 Cuetzalan del Progreso,314    Confección de productos textiles excepto prendas de vestir                                                                                                                                             ,      * ,4,0,4,
21 Puebla,043 Cuetzalan del Progreso,315    Fabricación de prendas de vestir                                                                                                                                                                        ,     10 ,10,6,4,
21 Puebla,043 Cuetzalan del Progreso,316    Fabricación de productos de cuero piel y materiales sucedáneos excepto prendas de vestir                                                                                                              ,      * ,2,1,1,
21 Puebla,043 Cuetzalan del Progreso,321    Industria de la madera                                                                                                                                                                                  ,      * ,1,1,0,
21 Puebla,043 Cuetzalan del Progreso,323    Impresión e industrias conexas                                                                                                                                                                          ,      * ,1,1,0,
21 Puebla,043 Cuetzalan del Progreso,332    Fabricación de productos metálicos                                                                                                                                                                      ,      9 ,9,9,0,
21 Puebla,043 Cuetzalan del Progreso,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     10 ,13,13,0,
21 Puebla,043 Cuetzalan del Progreso,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,4,2,2,
07 Chiapas,043 Ixtacomitán,311    Industria alimentaria                                                                                                                                                                                   ,      8 ,25,18,7,
