Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2004. Resultados definitivos,,,,,,,
Fecha de consulta: 25/08/2021 03:43:30 p. m.,,,,,,,
,,,,,,,
Entidad,Municipio,Actividad Económica,UE UNIDADES ECONÓMICAS,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
14 Jalisco,001 Acatic,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,84,34,50,
14 Jalisco,001 Acatic,315    Fabricación de prendas de vestir                                                                                                                                                                        ,      * ,85,28,57,
14 Jalisco,001 Acatic,321    Industria de la madera                                                                                                                                                                                  ,      * ,4,3,1,
14 Jalisco,001 Acatic,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,    134 ,554,381,173,
14 Jalisco,001 Acatic,332    Fabricación de productos metálicos                                                                                                                                                                      ,      7 ,9,9,0,
14 Jalisco,001 Acatic,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,      * ,4,3,1,
14 Jalisco,001 Acatic,339    Otras industrias manufactureras                                                                                                                                                                         ,      * ,4,3,1,
13 Hidalgo,001 Acatlán,311    Industria alimentaria                                                                                                                                                                                   ,      * ,13,5,8,
13 Hidalgo,001 Acatlán,327    Fabricación de productos a base de minerales no metálicos                                                                                                                                               ,      * ,128,109,19,
13 Hidalgo,001 Acatlán,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,1,1,0,
26 Sonora,001 Aconchi,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,3,1,2,
26 Sonora,001 Aconchi,321    Industria de la madera                                                                                                                                                                                  ,      * ,2,2,0,
26 Sonora,001 Aconchi,332    Fabricación de productos metálicos                                                                                                                                                                      ,      * ,2,2,0,
26 Sonora,001 Aconchi,337    Fabricación de muebles y productos relacionados                                                                                                                                                         ,     13 ,70,70,0,
16 Michoacán de Ocampo,001 Acuitzio,311    Industria alimentaria                                                                                                                                                                                   ,     24 ,53,23,30,
16 Michoacán de Ocampo,001 Acuitzio,312    Industria de las bebidas y del tabaco                                                                                                                                                                   ,      * ,4,3,1,
