Instituto Nacional de Estadística y Geografía,,,,,,,
INEGI. Censos Económicos 2014. Resultados definitivos,,,,,,,
Fecha de consulta: 26/08/2021 05:04:19 a. m.,,,,,,,
,,,,,,,
Año Censal,Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
2014,02 Baja California,003 Tecate,322 Industria del papel,179,102,77,
2014,02 Baja California,003 Tecate,323 Impresión e industrias conexas,266,140,126,
2014,02 Baja California,003 Tecate,325 Industria química,518,231,287,
2014,02 Baja California,003 Tecate,326 Industria del plástico y del hule,1064,493,571,
2014,02 Baja California,003 Tecate,327 Fabricación de productos a base de minerales no metálicos,554,449,105,
2014,02 Baja California,003 Tecate,332 Fabricación de productos metálicos,1650,1258,392,
2014,02 Baja California,003 Tecate,333 Fabricación de maquinaria y equipo,186,135,51,
2014,02 Baja California,003 Tecate,334 Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos,3447,1811,1636,
2014,02 Baja California,003 Tecate,335 Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica,467,270,197,
2014,02 Baja California,003 Tecate,336 Fabricación de equipo de transporte,151,134,17,
2014,02 Baja California,003 Tecate,337 Fabricación de muebles colchones y persianas,477,391,86,
2014,02 Baja California,003 Tecate,339 Otras industrias manufactureras,1136,490,646,
2014,02 Baja California,004 Tijuana,311 Industria alimentaria,7245,4661,2584,
2014,02 Baja California,004 Tijuana,312 Industria de las bebidas y del tabaco,3222,2970,252,
2014,02 Baja California,004 Tijuana,313 Fabricación de insumos textiles y acabado de textiles,407,266,141,
2014,02 Baja California,004 Tijuana,314 Fabricación de productos textiles excepto prendas de vestir,803,520,283,
2014,02 Baja California,004 Tijuana,315 Fabricación de prendas de vestir,3827,1885,1942,
2014,02 Baja California,004 Tijuana,316 Curtido y acabado de cuero y piel y fabricación de productos de cuero piel y materiales sucedáneos,385,239,146,
2014,02 Baja California,004 Tijuana,321 Industria de la madera,1955,1659,296,
2014,02 Baja California,004 Tijuana,322 Industria del papel,5903,4341,1562,
2014,02 Baja California,004 Tijuana,323 Impresión e industrias conexas,3608,2077,1531,
2014,02 Baja California,004 Tijuana,325 Industria química,2392,1374,1018,
2014,02 Baja California,004 Tijuana,326 Industria del plástico y del hule,18858,11221,7637,
2014,02 Baja California,004 Tijuana,327 Fabricación de productos a base de minerales no metálicos,3418,2568,850,
2014,02 Baja California,004 Tijuana,331 Industrias metálicas básicas,1344,1100,244,
2014,02 Baja California,004 Tijuana,332 Fabricación de productos metálicos,17965,11885,6080,
2014,02 Baja California,004 Tijuana,333 Fabricación de maquinaria y equipo,6127,4873,1254,
2014,02 Baja California,004 Tijuana,334 Fabricación de equipo de computación comunicación medición y de otros equipos componentes y accesorios electrónicos,45837,23491,22346,
2014,02 Baja California,004 Tijuana,335 Fabricación de accesorios aparatos eléctricos y equipo de generación de energía eléctrica,11269,6332,4937,
2014,02 Baja California,004 Tijuana,336 Fabricación de equipo de transporte,12679,9582,3097,
2014,02 Baja California,004 Tijuana,337 Fabricación de muebles colchones y persianas,11188,8481,2707,
2014,02 Baja California,004 Tijuana,339 Otras industrias manufactureras,43682,19729,23953,
