Instituto Nacional de Estadística y Geografía,,,,,,
INEGI. Censos Económicos 2009. Resultados definitivos,,,,,,
Fecha de consulta: 26/08/2021 04:43:00 a. m.,,,,,,
,,,,,,
Entidad,Municipio,Actividad Económica,H001A Personal ocupado total,"H001B Personal ocupado total, hombres","H001C Personal ocupado total, mujeres",
21 Puebla,001 Acajete,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,21,19,2,
21 Puebla,001 Acajete,54     Servicios profesionales científicos y técnicos ,25,17,8,
21 Puebla,001 Acajete,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,42,18,24,
21 Puebla,001 Acajete,61     Servicios educativos ,39,10,29,
21 Puebla,001 Acajete,62     Servicios de salud y de asistencia social ,65,41,24,
30 Veracruz de ignacio de la llave,001 Acajete,62     Servicios de salud y de asistencia social ,1,1,0,
21 Puebla,001 Acajete,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,35,21,14,
21 Puebla,001 Acajete,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,238,82,156,
30 Veracruz de ignacio de la llave,001 Acajete,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,8,0,8,
21 Puebla,001 Acajete,81     Otros servicios excepto actividades gubernamentales ,271,200,71,
30 Veracruz de ignacio de la llave,001 Acajete,81     Otros servicios excepto actividades gubernamentales ,9,4,5,
15 México,001 Acambay,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,40,36,4,
15 México,001 Acambay,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,16,15,1,
15 México,001 Acambay,31  - 33 industrias manufactureras ,889,376,513,
15 México,001 Acambay,43     Comercio al por mayor ,97,83,14,
15 México,001 Acambay,46     Comercio al por menor ,809,408,401,
15 México,001 Acambay,51     Información en medios masivos ,2,1,1,
15 México,001 Acambay,52     Servicios financieros y de seguros ,2,0,2,
15 México,001 Acambay,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,37,29,8,
15 México,001 Acambay,54     Servicios profesionales científicos y técnicos ,19,15,4,
15 México,001 Acambay,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,43,26,17,
15 México,001 Acambay,61     Servicios educativos ,144,88,56,
15 México,001 Acambay,62     Servicios de salud y de asistencia social ,49,20,29,
15 México,001 Acambay,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,98,50,48,
15 México,001 Acambay,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,163,68,95,
15 México,001 Acambay,81     Otros servicios excepto actividades gubernamentales ,122,80,42,
18 Nayarit,001 Acaponeta,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,341,338,3,
18 Nayarit,001 Acaponeta,21     Minería ,18,15,3,
18 Nayarit,001 Acaponeta,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,40,31,9,
18 Nayarit,001 Acaponeta,23     Construcción ,15,12,3,
18 Nayarit,001 Acaponeta,31  - 33 industrias manufactureras ,515,428,87,
18 Nayarit,001 Acaponeta,43     Comercio al por mayor ,410,344,66,
18 Nayarit,001 Acaponeta,46     Comercio al por menor ,1294,587,707,
18 Nayarit,001 Acaponeta,48  - 49 transportes correos y almacenamiento ,111,91,20,
18 Nayarit,001 Acaponeta,51     Información en medios masivos ,19,12,7,
18 Nayarit,001 Acaponeta,52     Servicios financieros y de seguros ,31,20,11,
18 Nayarit,001 Acaponeta,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,45,26,19,
18 Nayarit,001 Acaponeta,54     Servicios profesionales científicos y técnicos ,33,27,6,
18 Nayarit,001 Acaponeta,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,57,27,30,
18 Nayarit,001 Acaponeta,61     Servicios educativos ,80,30,50,
18 Nayarit,001 Acaponeta,62     Servicios de salud y de asistencia social ,85,52,33,
18 Nayarit,001 Acaponeta,71     Servicios de esparcimiento culturales y deportivos y otros servicios recreativos ,18,14,4,
18 Nayarit,001 Acaponeta,72     Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,490,169,321,
18 Nayarit,001 Acaponeta,81     Otros servicios excepto actividades gubernamentales ,409,322,87,
12 Guerrero,001 Acapulco de juárez,11     Agricultura cría y explotación de animales aprovechamiento forestal pesca y caza (sólo pesca acuicultura y servicios relacionados con las actividades agropecuarias y forestales) ,7632,5394,2238,
12 Guerrero,001 Acapulco de juárez,21     Minería ,78,70,8,
12 Guerrero,001 Acapulco de juárez,22     Generación transmisión y distribución de energía eléctrica suministro de agua y de gas por ductos al consumidor final ,1768,1538,230,
12 Guerrero,001 Acapulco de juárez,23     Construcción ,6217,5790,427,
12 Guerrero,001 Acapulco de juárez,31  - 33 industrias manufactureras ,7876,5669,2207,
12 Guerrero,001 Acapulco de juárez,43     Comercio al por mayor ,7971,6008,1963,
12 Guerrero,001 Acapulco de juárez,46     Comercio al por menor ,46327,20583,25744,
12 Guerrero,001 Acapulco de juárez,48  - 49 transportes correos y almacenamiento ,2658,2366,292,
12 Guerrero,001 Acapulco de juárez,51     Información en medios masivos ,2531,1655,876,
12 Guerrero,001 Acapulco de juárez,52     Servicios financieros y de seguros ,675,276,399,
12 Guerrero,001 Acapulco de juárez,53     Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,1986,1259,727,
12 Guerrero,001 Acapulco de juárez,54     Servicios profesionales científicos y técnicos ,2566,1557,1009,
12 Guerrero,001 Acapulco de juárez,56     Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación ,6964,5223,1741,
